Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,6,2^26,0.183207,,4,6,2^26,0.183207,,4,6,2^26,0.183207,,4,6,2^26,0.183207
4,6,2^27,0.46342,,4,6,2^27,0.46342,,4,6,2^27,0.46342,,4,6,2^27,0.46342
4,6,2^28,1.0565,,4,6,2^28,1.0565,,4,6,2^28,1.0565,,4,6,2^28,1.0565
4,6,2^29,2.31035,,4,6,2^29,2.31035,,4,6,2^29,2.31035,,4,6,2^29,2.31035
4,6,2^30,4.85521,,4,6,2^30,4.85521,,4,6,2^30,4.85521,,4,6,2^30,4.85521
4,6,2^31,10.0316,,4,6,2^31,10.0316,,4,6,2^31,10.0316,,4,6,2^31,10.0316
4,6,2^32,20.5312,,4,6,2^32,20.5312,,4,6,2^32,20.5312,,4,6,2^32,20.5312
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,7,2^25,0.0587168,,4,7,2^25,0.0587168,,4,7,2^25,0.0587168,,4,7,2^25,0.0587168
4,7,2^26,0.179601,,4,7,2^26,0.179601,,4,7,2^26,0.179601,,4,7,2^26,0.179601
4,7,2^27,0.48191,,4,7,2^27,0.48191,,4,7,2^27,0.48191,,4,7,2^27,0.48191
4,7,2^28,1.0908,,4,7,2^28,1.0908,,4,7,2^28,1.0908,,4,7,2^28,1.0908
4,7,2^29,2.35693,,4,7,2^29,2.35693,,4,7,2^29,2.35693,,4,7,2^29,2.35693
4,7,2^30,4.92237,,4,7,2^30,4.92237,,4,7,2^30,4.92237,,4,7,2^30,4.92237
4,7,2^31,10.1789,,4,7,2^31,10.1789,,4,7,2^31,10.1789,,4,7,2^31,10.1789
4,7,2^32,20.7532,,4,7,2^32,20.7532,,4,7,2^32,20.7532,,4,7,2^32,20.7532
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,8,2^25,0.0472391,,4,8,2^25,0.0472391,,4,8,2^25,0.0472391,,4,8,2^25,0.0472391
4,8,2^26,0.173575,,4,8,2^26,0.173575,,4,8,2^26,0.173575,,4,8,2^26,0.173575
4,8,2^27,0.500337,,4,8,2^27,0.500337,,4,8,2^27,0.500337,,4,8,2^27,0.500337
4,8,2^28,1.124,,4,8,2^28,1.124,,4,8,2^28,1.124,,4,8,2^28,1.124
4,8,2^29,2.43247,,4,8,2^29,2.43247,,4,8,2^29,2.43247,,4,8,2^29,2.43247
4,8,2^30,5.07591,,4,8,2^30,5.07591,,4,8,2^30,5.07591,,4,8,2^30,5.07591
4,8,2^31,10.4247,,4,8,2^31,10.4247,,4,8,2^31,10.4247,,4,8,2^31,10.4247
4,8,2^32,21.2634,,4,8,2^32,21.2634,,4,8,2^32,21.2634,,4,8,2^32,21.2634
